Country,Year,Rented-in,Rented-out,Purchased,Has certificate
Ethiopia (LSMS),2012,0.100,0.013,-,0.560
,2014,0.127,0.049,-,0.517
,2016,0.132,0.046,0.034,0.556
,2019,0.186,-,0.018,0.731
,2022,0.192,-,0.027,0.740
Malawi (LSMS),2010,0.072,0.001,0.037,-
,2016,0.077,0.010,0.048,0.022
,2019,0.073,0.005,-,-
Mali (LSMS),2014,0.006,-,0.006,0.045
,2017,0.002,-,0.003,0.020
Niger (LSMS),2011,0.103,0.000,0.076,0.087
,2014,0.022,0.002,0.094,0.045
Nigeria (LSMS),2011,0.105,0.001,0.088,-
,2013,0.164,0.003,0.054,0.069
,2016,0.068,0.006,0.069,0.061
,2019,0.127,0.015,0.126,0.108
,2023,0.093,0.010,0.089,0.108
Tanzania (LSMS),2009,0.039,0.007,-,0.070
,2011,0.026,0.012,-,0.124
,2013,0.026,0.019,-,0.152
,2015,0.058,0.011,0.397,0.183
,2019,0.051,0.030,0.432,0.181
Tanzania (ASC),2009,0.045,0.016,0.156,0.055
,2019,0.085,0.020,0.060,0.059
Uganda (LSMS),2009,0.062,0.022,0.259,0.242
,2010,0.066,0.004,0.237,0.162
,2011,0.048,0.017,0.246,0.152
,2013,0.075,0.008,0.286,0.239
,2015,0.094,0.008,0.296,0.224
,2018,0.134,0.003,-,0.125
,2019,0.082,0.011,0.272,0.046
Zambia (RALS),2012,0.011,0.003,0.063,0.083
,2015,0.013,0.004,0.084,0.066
,2019,0.013,0.006,0.083,0.062
