Country,Year,Rented-in,Rented-out,Purchased,Has certificate
Ethiopia,2012,0.248,0.073,-,0.486
,2014,0.259,0.132,-,0.537
,2016,0.277,0.178,0.099,0.586
,2019,0.242,0.117,0.068,0.790
,2022,0.234,0.050,0.082,0.782
Malawi,2010,0.121,0.004,0.039,-
,2013,0.117,0.006,0.031,0.026
,2016,0.119,0.024,0.065,0.019
,2019,0.109,0.023,-,-
Mali,2014,0.030,-,0.018,0.075
,2017,0.010,-,0.008,0.063
Niger,2011,0.232,0.001,0.141,0.126
,2014,0.038,0.005,0.149,0.055
Nigeria,2011,0.103,0.002,0.097,-
,2013,0.104,0.006,0.071,0.109
,2016,0.090,0.006,0.088,0.075
,2019,0.187,0.019,0.243,0.174
,2023,0.145,0.013,0.115,0.130
Tanzania,2009,0.112,0.013,-,0.108
,2011,0.075,0.012,-,0.144
,2013,0.061,0.012,-,0.116
,2015,0.093,0.012,0.288,0.146
,2019,0.152,0.029,0.432,0.218
Uganda,2009,0.214,0.030,0.379,0.226
,2010,0.202,0.004,0.350,0.168
,2011,0.136,0.012,0.298,0.159
,2013,0.172,0.011,0.352,0.256
,2015,0.232,0.019,0.366,0.218
,2018,0.210,0.023,-,0.127
,2019,0.188,0.024,0.346,0.075
Zambia,2012,0.030,0.005,0.056,0.086
,2015,0.038,0.011,0.068,0.054
,2019,0.045,0.018,0.079,0.056
